Name,Coauthors
Omid Abari,51
Samer Al Kiswany,62
Raouf Boutaba,359
Tim Brecht,109
Peter Buhr,29
Khuzaima Daudjee,123
Ian Goldberg,131
Sergey Gorbunov,57
Urs Hengartner,79
Martin Karsten,47
Srinivasan Keshav,157
Ali Mashtizadeh,33
Mina Tahmasbi Arashloo,36
David Taylor,54
Richard Trefler,22
Paul Ward,46
Bernard Wong,76
Johnny Wong,59
Hong Zhang,112
