Name,Coauthors
Shai Ben-David,114
Shalev Ben-David,33
Therese Biedl,159
Eric Blais,64
Dan Brown,40
Trevor Brown,25
Jonathan Buss,26
Richard Cleve,66
Gautam Kamath,78
Lila Kari,87
Lap Chi Lau,41
Ming Li,173
Yang Young Lu,30
Anna Lubiw,216
Ian Munro,159
Naomi Nishimura,56
Prabhakar Ragde,47
Jeffrey Shallit,224
Doug Stinson,101
John Watrous,45
