Name,Coauthors
Charles Clarke,169
Gordon Cormack,82
Khuzaima Daudjee,123
Lukasz Golab,129
Maura R. Grossman,21
Xi He,48
Ihab Ilyas,175
Jimmy Lin,464
Tamer Ozsu,312
Kenneth Salem,114
Semih Salihoglu,96
Mark Smucker,77
David Toman,61
Frank Tompa,102
Grant Weddell,32
